consumer_num,connected_load(W),billed_units,bill_month
29,2000,859,201602
29,2000,862,201604
29,2000,0,201605
29,2000,830,201606
29,2000,829,201608
29,2000,815,201610
29,2000,804,201612
30,1000,851,201602
30,1000,862,201604
30,1000,0,201605
30,1000,857,201606
30,1000,810,201608
30,1000,732,201610
30,1000,638,201612
43,1000,139,201602
43,1000,87,201604
43,1000,0,201605
43,1000,133,201606
43,1000,125,201608
43,1000,107,201610
43,1000,214,201612
55,2000,1204,201602
55,2000,683,201604
55,2000,622,201606
55,2000,1220,201608
55,2000,574,201610
55,2000,553,201612
87,10000,2843,201602
87,10000,3085,201604
87,10000,6249,201606
87,10000,2759,201608
87,10000,3323,201610
87,10000,2882,201612
94,1000,549,201602
94,1000,568,201604
94,1000,568,201606
94,1000,568,201608
94,1000,741,201610
94,1000,0,201611
94,1000,695,201612
105,1000,0,201602
105,1000,0,201603
105,1000,154,201604
105,1000,376,201605
105,1000,557,201606
105,1000,195,201608
105,1000,28,201610
105,1000,28,201612
113,21538,1373,201601
113,21538,1557,201602
113,21538,1677,201603
113,21538,2005,201604
113,21538,4668,201605
113,21538,5138,201606
113,21538,1806,201607
113,21538,2535,201608
113,21538,2301,201609
113,21538,4257,201610
113,21538,3786,201611
113,21538,1909,201612
126,960,546,201602
126,960,591,201604
126,960,0,201605
126,960,579,201606
126,960,545,201608
126,960,531,201610
126,960,520,201612
137,150,1082,201602
137,150,1333,201604
137,150,0,201605
137,150,1463,201606
137,150,1322,201608
137,150,1215,201610
137,150,1208,201612
141,2693,332,201602
141,2693,332,201604
141,2693,0,201605
141,2693,664,201606
141,2693,428,201608
141,2693,376,201610
141,2693,561,201612
168,150,0,201604
174,5000,801,201602
174,5000,0,201603
174,5000,1402,201604
174,5000,0,201605
174,5000,810,201606
174,5000,0,201607
174,5000,1635,201608
174,5000,810,201610
174,5000,1620,201612
190,7666,931,201602
190,7666,1117,201604
190,7666,0,201605
190,7666,1149,201606
190,7666,949,201608
190,7666,811,201610
190,7666,834,201612
206,150,0,201601
217,1000,0,201602
217,1000,19,201604
217,1000,0,201606
225,150,478,201602
225,150,569,201604
225,150,567,201606
225,150,451,201608
225,150,441,201610
225,150,449,201612
233,4000,602,201602
233,4000,403,201604
233,4000,739,201606
233,4000,763,201608
233,4000,875,201610
233,4000,869,201612
259,150,186,201602
259,150,218,201604
259,150,211,201606
259,150,148,201608
259,150,205,201610
259,150,0,201611
259,150,215,201612
264,150,183,201602
264,150,0,201603
264,150,84,201604
264,150,0,201605
264,150,369,201606
264,150,0,201607
264,150,354,201608
264,150,265,201610
264,150,467,201612
278,150,0,201602
278,150,0,201604
278,150,0,201605
278,150,0,201606
278,150,0,201608
278,150,0,201610
278,150,0,201612
282,150,990,201602
282,150,0,201603
282,150,918,201604
282,150,0,201605
282,150,908,201606
282,150,981,201608
282,150,936,201610
282,150,892,201612
291,5000,30,201502
291,5000,0,201603
303,150,6,201602
303,150,6,201604
303,150,0,201605
303,150,6,201606
303,150,6,201608
303,150,0,201609
303,150,6,201610
303,150,6,201612
318,150,0,201602
318,150,0,201603
318,150,0,201604
320,150,0,201601
320,150,380,201602
320,150,0,201603
320,150,380,201604
320,150,86,201606
320,150,355,201608
320,150,69,201610
320,150,78,201612
336,1700,0,201602
336,1700,0,201603
336,1700,0,201604
345,1070,363,201602
345,1070,406,201604
345,1070,404,201606
345,1070,0,201607
345,1070,350,201608
345,1070,312,201610
345,1070,273,201612
351,150,162,201602
351,150,200,201604
351,150,176,201606
351,150,133,201608
351,150,179,201610
351,150,172,201612
362,1000,1146,201602
362,1000,3032,201604
362,1000,1947,201606
362,1000,1815,201608
362,1000,1818,201610
362,1000,1862,201612
377,150,327,201602
377,150,627,201604
377,150,784,201606
377,150,838,201608
377,150,252,201610
377,150,635,201612
399,5000,747,201602
399,5000,0,201603
399,5000,973,201604
399,5000,0,201605
399,5000,1063,201606
399,5000,0,201607
399,5000,790,201608
399,5000,722,201610
399,5000,740,201612
419,150,329,201602
419,150,360,201604
419,150,339,201606
419,150,294,201608
419,150,308,201610
419,150,296,201612
422,150,18,201602
422,150,32,201604
422,150,243,201606
422,150,0,201607
422,150,417,201608
422,150,405,201610
422,150,0,201611
422,150,390,201612
431,1000,108,201601
431,1000,215,201603
431,1000,107,201605
431,1000,0,201606
431,1000,115,201607
431,1000,98,201609
431,1000,94,201611
456,7000,852,201601
456,7000,807,201603
456,7000,864,201605
456,7000,0,201606
456,7000,911,201607
456,7000,897,201609
456,7000,871,201611
475,1000,0,201602
475,1000,0,201603
475,1000,42,201604
475,1000,207,201606
475,1000,0,201607
475,1000,343,201608
475,1000,0,201609
475,1000,299,201610
475,1000,247,201612
498,1000,38,201602
498,1000,51,201604
498,1000,56,201606
498,1000,0,201607
498,1000,59,201608
498,1000,59,201610
498,1000,48,201612
500,2000,393,201602
500,2000,352,201604
500,2000,441,201606
500,2000,504,201608
500,2000,526,201610
500,2000,356,201612
538,150,116,201602
538,150,133,201604
538,150,92,201606
538,150,79,201608
538,150,130,201610
538,150,109,201612
554,150,293,201602
554,150,52,201603
554,150,0,201604
572,4000,0,201602
572,4000,0,201604
581,150,248,201601
581,150,300,201603
581,150,396,201605
581,150,302,201607
581,150,339,201609
581,150,288,201611
607,2810,652,201602
607,2810,670,201604
607,2810,750,201606
607,2810,779,201608
607,2810,424,201610
607,2810,812,201612
614,1000,92,201602
614,1000,78,201604
614,1000,130,201606
614,1000,0,201607
614,1000,109,201608
614,1000,0,201609
614,1000,115,201610
614,1000,62,201612
621,1000,5,201602
621,1000,4,201604
621,1000,5,201606
621,1000,5,201608
621,1000,4,201610
621,1000,5,201612
646,6000,386,201602
646,6000,183,201604
646,6000,0,201605
646,6000,469,201606
646,6000,292,201608
646,6000,233,201610
646,6000,241,201612
650,5712,620,201601
650,5712,694,201602
650,5712,644,201603
650,5712,535,201604
650,5712,842,201605
650,5712,579,201606
650,5712,802,201607
650,5712,607,201608
650,5712,744,201609
650,5712,651,201610
650,5712,502,201611
650,5712,285,201612
669,3000,0,201611
673,1000,250,201602
673,1000,249,201604
673,1000,0,201605
673,1000,256,201606
673,1000,286,201608
673,1000,305,201610
673,1000,0,201611
673,1000,196,201612
702,440,35,201602
702,440,72,201604
702,440,0,201605
702,440,73,201606
702,440,31,201608
702,440,22,201610
702,440,52,201612
711,1000,17,201602
711,1000,3,201604
711,1000,0,201605
711,1000,5,201606
711,1000,5,201608
711,1000,6,201610
711,1000,12,201612
724,3060,76,201602
724,3060,76,201604
724,3060,1151,201605
724,3060,75,201606
724,3060,0,201607
724,3060,80,201608
724,3060,78,201610
724,3060,63,201612
739,1150,296,201602
739,1150,350,201604
739,1150,0,201605
739,1150,343,201606
739,1150,261,201608
739,1150,299,201610
739,1150,317,201612
797,150,444,201602
797,150,444,201604
797,150,0,201605
797,150,539,201606
797,150,486,201608
797,150,459,201610
797,150,436,201612
809,1000,241,201602
809,1000,323,201604
809,1000,243,201606
809,1000,237,201608
809,1000,266,201610
809,1000,245,201612
810,1600,168,201602
810,1600,192,201604
810,1600,0,201605
810,1600,189,201606
810,1600,71,201608
