consumer_num,connected_load (watts),total_energy_billed (kWh)
18827,7693,495.08
18058,5200,286
701,5000,91.42
692,150,277.67
4385,600,110.92
15971,150,249.25
6887,450,230.25
11359,150,92
3198,150,218.92
15572,340,139.58
11029,150,98.33
22481,220,102.17
22912,4673,350.25
14156,4686,11.67
19067,840,31.33
8353,1000,0
7917,680,76.83
16788,280,80.75
23177,14920,2167.33
942,1000,0
3227,150,230.92
19875,150,143.67
16246,200,266.33
24100,1410,170
10807,4086,164.17
17515,475,113.75
7879,4706,200.58
23346,1788,46.08
4324,600,199.58
20892,5093,1035.42
14683,980,196.08
25701,2800,8.75
9507,4000,186.92
16527,480,115.67
6521,1000,195.17
12112,4500,90.42
14315,280,86
1033,150,0
22560,1993,275.17
22563,4643,333.25
2576,2140,216.42
11875,3100,0
6336,150,122.25
24040,2895,223.67
6857,650,354.08
19076,380,143.08
18212,460,0
3170,150,296.33
18747,5660,2036.67
7748,680,167.42
15276,1000,27.67
25912,7780,483.25
20797,1000,230.5
25907,935,49.58
20546,200,119.75
23903,729,34.42
6679,900,214.5
6665,400,127.25
1137,150,0
17350,6815,220.92
8986,150,0
20285,300,180.83
21301,500,154.17
24013,6130,360.92
6409,150,266.25
20270,200,63.5
10140,2000,77.92
3704,1955,60.42
22788,19980,8675.25
7437,1000,18.08
7134,600,347
2433,150,88.08
4892,400,152.25
10667,9979,89
18525,7296,814.83
15705,4000,336.92
10649,320,252.67
23022,2143,97.5
17312,760,131.67
25410,2870,218.75
5301,150,8
13926,200,297.58
1275,150,500.75
21933,3590,204.5
10340,4000,79.92
1785,2265,377.58
7980,450,15.33
23897,440,190.33
5438,600,158.67
25866,2960,122.25
20181,300,203.67
2678,500,138
18718,2900,147.42
4695,150,126.92
2949,4000,502.08
534,150,29.17
25281,1473,311.25
19688,1893,190.83
8864,3900,273.92
13021,150,185.42
18600,4000,0
16139,2980,284.08
12029,2360,130.17
13705,2440,524
25085,3240,255.67
18310,2405,295.92
18053,150,200.25
24891,1160,5.83
