,consumer_num,month 1,month 2,month 3,month 4,month 5,month 6
0,2,484.0,991.0,1126.0,1331.0,709.0,743.0
1,3,198.0,179.0,85.0,104.0,8.0,11.0
2,5,1863.0,1185.0,1459.0,851.0,1441.0,1722.0
3,13,475.0,520.0,395.0,515.0,681.0,562.0
4,18,3218.0,3226.0,3457.0,3038.0,2757.0,3083.0
5,24,303.0,272.0,234.0,378.0,565.0,571.0
6,26,2.0,2.0,2.0,2.0,2.0,2.0
7,29,859.0,862.0,830.0,829.0,815.0,804.0
8,30,851.0,862.0,857.0,810.0,732.0,638.0
9,37,683.0,621.0,604.0,683.0,720.0,697.0
10,39,421.0,356.0,274.0,285.0,327.0,205.0
11,41,482.0,500.0,512.0,461.0,493.0,529.0
12,43,139.0,87.0,133.0,125.0,107.0,214.0
13,48,62.0,196.0,144.0,144.0,406.0,118.0
14,51,2346.0,1924.0,4073.0,4369.0,3499.0,1891.0
15,52,190.0,401.0,503.0,171.0,126.0,270.0
16,55,1204.0,683.0,622.0,1220.0,574.0,553.0
17,62,36.0,36.0,36.0,36.0,36.0,72.0
18,68,223.0,222.0,388.0,166.0,388.0,164.0
19,77,393.0,196.0,352.0,344.0,364.0,384.0
20,84,23.0,3.0,2.0,2.0,4.0,2.0
21,86,51.0,48.0,128.0,72.0,78.0,146.0
22,87,2843.0,3085.0,6249.0,2759.0,3323.0,2882.0
23,94,549.0,568.0,568.0,568.0,741.0,695.0
24,99,705.0,1467.0,809.0,1514.0,822.0,676.0
25,105,154.0,376.0,557.0,195.0,28.0,28.0
26,113,1373.0,1557.0,1677.0,2005.0,4668.0,5138.0
27,115,470.0,464.0,380.0,310.0,329.0,261.0
28,118,560.0,544.0,512.0,464.0,413.0,392.0
30,126,546.0,591.0,579.0,545.0,531.0,520.0
31,127,6.0,758.0,1682.0,1366.0,830.0,898.0
32,134,512.0,256.0,512.0,512.0,512.0,256.0
33,136,418.0,1013.0,1180.0,417.0,476.0,404.0
34,137,1082.0,1333.0,1463.0,1322.0,1215.0,1208.0
35,139,617.0,451.0,506.0,427.0,437.0,421.0
36,141,332.0,332.0,664.0,428.0,376.0,561.0
38,151,138.0,182.0,243.0,50.0,179.0,182.0
39,153,238.0,283.0,260.0,255.0,250.0,265.0
40,158,1417.0,802.0,230.0,184.0,490.0,342.0
41,162,7.0,10.0,20.0,20.0,10.0,10.0
43,165,116.0,33.0,31.0,63.0,34.0,16.0
44,174,801.0,1402.0,810.0,1635.0,810.0,1620.0
45,177,1463.0,1463.0,1402.0,1119.0,1061.0,1076.0
46,179,545.0,681.0,1117.0,1222.0,421.0,409.0
47,180,647.0,701.0,675.0,659.0,647.0,646.0
48,190,931.0,1117.0,1149.0,949.0,811.0,834.0
49,197,301.0,363.0,443.0,469.0,476.0,533.0
50,207,52.0,113.0,71.0,118.0,198.0,100.0
51,216,360.0,778.0,768.0,639.0,573.0,563.0
53,221,982.0,1076.0,487.0,201.0,384.0,616.0
54,222,939.0,942.0,842.0,845.0,976.0,1026.0
55,225,478.0,569.0,567.0,451.0,441.0,449.0
56,231,590.0,1103.0,949.0,803.0,891.0,740.0
57,233,602.0,403.0,739.0,763.0,875.0,869.0
58,235,300.0,616.0,290.0,309.0,303.0,609.0
59,238,584.0,728.0,411.0,658.0,511.0,261.0
60,246,92.0,28.0,46.0,56.0,56.0,98.0
61,247,516.0,596.0,993.0,412.0,835.0,473.0
62,256,457.0,221.0,271.0,551.0,540.0,251.0
63,259,186.0,218.0,211.0,148.0,205.0,215.0
64,264,183.0,84.0,369.0,354.0,265.0,467.0
67,281,612.0,655.0,609.0,504.0,418.0,423.0
68,282,990.0,918.0,908.0,981.0,936.0,892.0
69,288,471.0,491.0,559.0,440.0,496.0,682.0
71,295,23.0,36.0,45.0,53.0,239.0,212.0
72,298,917.0,1055.0,1263.0,1137.0,920.0,846.0
73,301,630.0,600.0,630.0,772.0,617.0,320.0
74,303,6.0,6.0,6.0,6.0,6.0,6.0
75,305,1401.0,1882.0,2306.0,1045.0,2420.0,2561.0
76,312,226.0,249.0,252.0,232.0,353.0,362.0
77,315,744.0,813.0,830.0,463.0,381.0,1.0
78,320,380.0,380.0,86.0,355.0,69.0,78.0
79,326,327.0,328.0,291.0,312.0,651.0,315.0
80,327,538.0,317.0,335.0,566.0,284.0,295.0
81,329,248.0,321.0,312.0,219.0,276.0,193.0
82,330,1216.0,1230.0,1168.0,1200.0,1186.0,593.0
83,334,387.0,438.0,444.0,371.0,432.0,348.0
84,337,220.0,220.0,228.0,244.0,239.0,236.0
85,342,140.0,133.0,338.0,158.0,158.0,159.0
86,343,337.0,369.0,745.0,300.0,354.0,704.0
87,345,363.0,406.0,404.0,350.0,312.0,273.0
88,351,162.0,200.0,176.0,133.0,179.0,172.0
89,352,270.0,300.0,353.0,202.0,299.0,205.0
90,355,396.0,448.0,470.0,780.0,736.0,804.0
91,358,184.0,272.0,266.0,388.0,427.0,234.0
93,362,1146.0,3032.0,1947.0,1815.0,1818.0,1862.0
94,363,218.0,279.0,353.0,210.0,826.0,235.0
95,374,765.0,793.0,741.0,651.0,589.0,678.0
96,376,194.0,205.0,358.0,238.0,437.0,346.0
97,377,327.0,627.0,784.0,838.0,252.0,635.0
98,379,364.0,404.0,383.0,385.0,375.0,292.0
99,380,22.0,148.0,149.0,198.0,171.0,236.0
100,387,52.0,36.0,62.0,84.0,69.0,43.0
101,389,531.0,616.0,609.0,428.0,532.0,499.0
102,390,236.0,489.0,513.0,466.0,415.0,398.0
103,394,395.0,1077.0,607.0,365.0,318.0,388.0
104,396,493.0,552.0,603.0,551.0,526.0,540.0
105,399,747.0,973.0,1063.0,790.0,722.0,740.0
106,400,748.0,1309.0,1150.0,506.0,1345.0,749.0
107,407,74.0,306.0,150.0,14.0,1268.0,5183.0
108,416,433.0,464.0,556.0,580.0,645.0,624.0
109,419,329.0,360.0,339.0,294.0,308.0,296.0
110,421,2304.0,1938.0,1996.0,1511.0,1357.0,1347.0
111,422,18.0,32.0,243.0,417.0,405.0,390.0
112,431,108.0,215.0,107.0,115.0,98.0,94.0
113,435,274.0,411.0,252.0,241.0,235.0,234.0
114,438,155.0,145.0,159.0,171.0,175.0,137.0
115,449,912.0,967.0,844.0,844.0,844.0,1688.0
116,454,467.0,460.0,460.0,460.0,460.0,460.0
117,456,852.0,807.0,864.0,911.0,897.0,871.0
118,457,320.0,328.0,396.0,416.0,333.0,301.0
119,467,198.0,152.0,158.0,175.0,197.0,188.0
120,469,183.0,154.0,156.0,190.0,206.0,198.0
121,471,256.0,226.0,251.0,256.0,278.0,243.0
122,473,517.0,562.0,278.0,517.0,487.0,212.0
124,481,693.0,653.0,766.0,776.0,953.0,697.0
125,485,470.0,348.0,616.0,544.0,670.0,278.0
126,493,1081.0,1214.0,1252.0,1111.0,1039.0,1106.0
127,495,605.0,595.0,1195.0,536.0,134.0,712.0
128,498,38.0,51.0,56.0,59.0,59.0,48.0
129,500,393.0,352.0,441.0,504.0,526.0,356.0
130,506,194.0,412.0,419.0,361.0,368.0,381.0
131,507,298.0,784.0,486.0,492.0,509.0,504.0
137,525,258.0,582.0,649.0,541.0,12.0,12.0
138,528,701.0,760.0,759.0,603.0,375.0,684.0
139,532,309.0,570.0,646.0,519.0,519.0,535.0
