Price,Bedrooms,Bathrooms,Size,Price/SQ.Ft
795000,3,3,2371,335.3
399000,4,3,2818,141.59
545000,4,3,3032,179.75
909000,4,4,3540,256.78
109900,3,1,1249,87.99
324900,3,3,1800,180.5
192900,4,2,1603,120.34
215000,3,2,1450,148.28
999000,4,3,3360,297.32
319000,3,2,1323,241.12
350000,3,2,1750,200
249000,3,2,1400,177.86
299000,2,2,1257,237.87
235900,3,2,1400,168.5
348000,3,2,1600,217.5
314000,4,3,1794,175.03
399000,4,2,1850,215.68
599000,3,3,2950,203.05
299000,3,2,1719,173.94
425000,3,3,1472,288.72
1100000,4,3,4168,263.92
1500000,3,3,3880,386.6
110000,2,1,1000,110
200000,3,2,1139,175.59
134900,3,1,1080,124.91
250000,4,3,2000,125
950000,3,4,1920,494.79
239950,4,2,1348,178
170000,3,2,1280,132.81
285000,3,2,2400,118.75
279000,3,3,1700,164.12
219000,3,2,1600,136.88
155000,3,2,1050,147.62
389000,3,2,1415,274.91
340000,3,1,1110,306.31
95000,2,1,797,119.2
140000,2,2,1100,127.27
1100000,3,3,2602,422.75
360000,4,3,2351,153.13
415000,3,3,1350,307.41
250000,4,2,1206,207.3
559000,3,3,2628,212.71
525000,3,3,2365,221.99
779000,3,3,2990,260.54
595000,3,2,1750,340
1150000,4,5,5500,209.09
550000,3,2,1852,296.98
500000,3,2,2100,238.1
279000,4,3,2580,108.14
375000,4,2,1963,191.03
330000,3,3,1900,173.68
199000,3,3,1450,137.24
165000,2,2,1000,165
1399000,4,3,6500,215.23
255000,3,2,1218,209.36
325000,2,2,893,363.94
789000,3,3,2100,375.71
498000,4,3,2341,212.73
430000,4,2,2168,198.34
539900,4,3,3032,178.07
499000,3,2,1293,385.92
275000,3,2,1200,229.17
499000,3,4,2250,221.78
899000,3,3,2430,369.96
1045000,3,3,2100,497.62
774000,2,2,1550,499.35
239000,3,3,1800,132.78
195000,3,2,1218,160.1
325000,2,1,768,423.18
320000,4,2,1929,165.89
275000,4,3,1877,146.51
329000,3,2,1700,193.53
140000,3,2,1080,129.63
409000,4,3,2192,186.59
167900,3,2,1296,129.55
325000,7,5,2688,120.91
119000,1,1,900,132.22
245000,4,2,1482,165.32
259900,3,2,1726,150.58
495000,3,2,1486,333.11
399000,4,2,1543,258.59
329700,4,2,1367,241.19
199000,1,1,712,279.49
149000,3,2,1040,143.27
225000,3,2,1456,154.53
195000,2,1,811,240.44
359900,3,3,1951,184.47
799000,4,4,3100,257.74
595000,3,2,2117,281.06
89000,3,2,1560,57.05
129900,3,1,1042,124.66
375000,3,3,1519,246.87
599000,3,2,2774,215.93
235000,3,2,1340,175.37
255900,3,2,1440,177.71
148900,5,2,1064,139.94
749000,3,2,2145,349.18
189900,3,2,1472,129.01
183000,3,1,888,206.08
232600,3,3,1582,147.03
520000,3,2,1680,309.52
355000,3,3,1702,208.58
275000,0,1,398,690.95
225000,4,3,1940,115.98
161900,3,2,1200,134.92
249999,3,3,2013,124.19
208000,2,1,1267,164.17
135000,3,1,1100,122.73
385000,2,3,1389,277.18
750000,4,4,3387,221.43
810000,4,3,3305,245.08
890000,4,5,4229,210.45
895000,4,3,3676,243.47
229900,3,2,1458,157.68
240000,2,2,1020,235.29
429000,4,3,2513,170.71
399000,4,3,2800,142.5
385000,3,2,2000,192.5
294900,3,2,1316,224.09
399000,3,2,1220,327.05
269000,3,3,1780,151.12
449000,3,3,2120,211.79
555900,5,3,2947,188.63
319900,4,2,2135,149.84
332000,4,4,1872,177.35
499000,4,5,3400,146.76
432000,4,3,3113,138.77
199000,2,1,827,240.63
29000,2,2,1500,19.33
299000,3,2,1270,235.43
259000,4,3,1857,139.47
99000,1,1,538,184.01
779000,2,2,1223,636.96
839000,2,2,1223,686.02
525000,3,2,1746,300.69
795000,3,2,2092,380.02
337000,4,2,2000,168.5
164900,2,1,750,219.87
449000,2,3,1650,272.12
94000,2,2,797,117.94
899000,3,3,2266,396.73
180000,3,2,1280,140.63
194900,3,2,1092,178.48
350000,3,2,1509,231.94
167770,3,3,1793,93.57
309900,3,2,1705,181.76
479000,2,3,2100,228.1
350000,3,2,1582,221.24
350000,3,2,1470,238.1
275000,3,2,1424,193.12
379000,4,3,2277,166.45
155900,4,2,3368,46.29
229000,3,2,1458,157.06
604995,2,3,1749,345.91
599000,3,3,1996,300.1
359000,3,2,1008,356.15
199000,4,2,1527,130.32
164900,3,2,1440,114.51
179000,3,2,1815,98.62
370000,4,2,2064,179.26
999000,5,4,2402,415.9
365000,3,3,2136,170.88
345000,3,2,1498,230.31
299000,2,1,1068,279.96
519500,2,1,634,819.4
645000,4,4,3000,215
242500,3,2,1218,199.1
259900,3,3,1300,199.92
310000,4,3,2014,153.92
450000,2,2,1463,307.59
220000,2,2,1541,142.76
585000,3,2,1268,461.36
324000,5,4,2400,135
375000,1,1,551,680.58
329000,3,2,1420,231.69
599900,5,3,2764,217.04
74900,2,2,1014,73.87
285000,3,2,1120,254.46
751900,3,3,3400,221.15
295000,3,2,1386,212.84
170000,3,2,1320,128.79
197000,3,2,1376,143.17
1250000,3,3,2586,483.37
249000,3,2,1662,149.82
179000,2,2,1033,173.28
132000,3,1,1050,125.71
425000,3,2,1500,283.33
290000,5,3,2500,116
150000,2,2,896,167.41
150000,2,2,896,167.41
150000,2,2,896,167.41
150000,2,2,896,167.41
150000,2,2,896,167.41
205000,2,2,1388,147.69
599000,4,3,3120,191.99
269000,3,3,1352,198.96
249000,4,3,1963,126.85
235000,3,3,1541,152.5
469000,4,3,2449,191.51
159000,4,2,1660,95.78
69900,3,1,936,74.68
1499000,5,7,6800,220.44
239000,3,2,1022,233.86
399500,3,2,1665,239.94
299900,3,2,1209,248.06
275000,3,2,1700,161.76
395000,4,2,1736,227.53
105000,1,1,731,143.64
179999,3,2,1086,165.74
219000,3,2,1131,193.63
325000,3,3,1500,216.67
829900,4,3,3827,216.85
165000,2,1,1100,150
179000,3,2,1398,128.04
279000,3,2,1381,202.03
820000,4,4,3387,242.1
399000,2,1,1250,319.2
164900,3,1,965,170.88
235000,4,2,1860,126.34
1900000,4,5,5411,351.14
289000,3,2,1367,211.41
355000,3,2,1640,216.46
199000,3,2,1269,156.82
209000,3,2,1275,163.92
186900,3,1,912,204.93
240000,4,2,1460,164.38
515000,2,2,2000,257.5
215000,4,2,1750,122.86
399900,4,4,3050,131.11
369000,4,3,2371,155.63
250000,2,2,1292,193.5
259000,3,2,1640,157.93
180000,2,2,1082,166.36
399900,3,2,1522,262.75
385000,3,2,1535,250.81
154000,2,2,1100,140
254900,2,2,966,263.87
315000,4,2,1653,190.56
437500,3,3,2523,173.4
299900,3,3,2511,119.43
399000,3,3,1772,225.17
330000,3,3,1889,174.7
279000,2,2,880,317.05
248000,3,2,1400,177.14
209000,3,3,1494,139.89
729000,3,2,1844,395.34
454500,4,3,1900,239.21
249000,3,2,1176,211.73
1700000,3,5,4463,380.91
349000,3,2,1635,213.46
575000,3,3,2095,274.46
185000,3,2,1300,142.31
165000,3,2,1200,137.5
311900,0,1,910,342.75
175000,3,2,1600,109.38
180000,4,2,1332,135.14
78000,2,2,1680,46.43
142900,2,1,1313,108.83
850000,4,4,3744,227.03
389000,3,2,1998,194.69
641900,3,3,2714,236.51
305000,4,2,1797,169.73
260000,3,3,1687,154.12
320000,3,2,1663,192.42
199000,2,1,792,251.26
299000,2,2,1410,212.06
289000,2,2,1085,266.36
229900,3,3,1900,121
865000,4,3,3305,261.72
900000,4,4,3962,227.16
199000,2,3,1260,157.94
160000,2,3,1200,133.33
299000,3,3,2400,124.58
300000,3,3,1265,237.15
270000,4,2,1460,184.93
490000,3,3,1894,258.71
295000,3,3,1800,163.89
225000,3,2,1550,145.16
324900,2,2,1426,227.84
165000,3,2,1110,148.65
157900,3,2,1075,146.88
299000,3,2,1756,170.27
369000,3,3,2150,171.63
233000,4,2,1650,141.21
109900,2,2,1200,91.58
309000,3,2,1488,207.66
1799000,4,4,3609,498.48
209900,2,2,1113,188.59
499000,3,2,1600,311.88
525000,4,2,1961,267.72
650000,3,3,3249,200.06
529000,3,3,1510,350.33
179000,3,2,1300,137.69
282000,3,3,1736,162.44
899000,4,3,3008,298.87
130000,3,2,1850,70.27
205000,3,2,1146,178.88
180900,2,2,1100,164.45
409900,4,4,2135,191.99
409900,4,4,2135,191.99
469000,3,2,1827,256.7
289000,3,1,1005,287.56
99999,2,3,1800,55.56
445000,5,3,3307,134.56
640000,3,3,2160,296.3
185000,3,2,1062,174.2
210000,4,2,1102,190.56
199900,3,2,1215,164.53
225000,3,2,1600,140.63
369900,4,2,2161,171.17
120000,3,2,1686,71.17
199000,2,1,1000,199
520000,3,3,2600,200
579000,5,3,3150,183.81
300000,4,2,1257,238.66
325000,3,2,1171,277.54
225000,3,2,1144,196.68
395000,2,1,1160,340.52
399000,4,3,2300,173.48
